image_path,original_class,unified_label,unified_class,source,azh_split
data/AZH/train/no wound/29.jpg,no wound,4,no_wound,AZH-azh_train,train
data/AZH/train/surgical/37_0.jpg,surgical,2,surgical,AZH-azh_train,train
data/AZH/train/BG/17.jpg,BG,4,no_wound,AZH-azh_train,train
data/AZH/train/diabetic/55_0.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/AZH/train/pressure/96_0.jpg,pressure,1,pressure,AZH-azh_train,train
data/AZH/train/venous/119_0.jpg,venous,3,venous,AZH-azh_train,train
data/AZH/train/diabetic/87_0.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/AZH/train/no wound/8.jpg,no wound,4,no_wound,AZH-azh_train,train
data/Medetec/diabetic/foot-ulcer-0002.jpg,diabetic,0,diabetic,Medetec,train
data/Medetec/venous/leg-ulcer-case-2-13.jpg,venous,3,venous,Medetec,train
data/AZH/train/venous/115_1.jpg,venous,3,venous,AZH-azh_train,train
data/AZH/train/pressure/94_0.jpg,pressure,1,pressure,AZH-azh_train,train
data/AZH/train/pressure/69_1.jpg,pressure,1,pressure,AZH-azh_train,train
data/AZH/train/pressure/29_0.jpg,pressure,1,pressure,AZH-azh_train,train
data/Medetec/pressure/undermining0002.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/diabetic/146_1.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/AZH/train/venous/82_0.jpg,venous,3,venous,AZH-azh_train,train
data/Medetec/diabetic/foot-ulcer-0026.jpg,diabetic,0,diabetic,Medetec,train
data/AZH/train/surgical/52_1.jpg,surgical,2,surgical,AZH-azh_train,train
data/Medetec/pressure/pressure-ulcer-on-foot-0039.jpg,pressure,1,pressure,Medetec,train
data/Medetec/diabetic/foot-ulcer-0018.jpg,diabetic,0,diabetic,Medetec,train
data/AZH/train/venous/43_0.jpg,venous,3,venous,AZH-azh_train,train
data/Medetec/venous/leg-ulcer-healing-well-0107.jpg,venous,3,venous,Medetec,train
data/Medetec/pressure/healing-pressure-ulcer-0025.jpg,pressure,1,pressure,Medetec,train
data/Medetec/pressure/pressure-ulcer-on-foot-0028.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/diabetic/108_0.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/AZH/train/surgical/105_0.jpg,surgical,2,surgical,AZH-azh_train,train
data/AZH/train/BG/74.jpg,BG,4,no_wound,AZH-azh_train,train
data/Medetec/pressure/necrotic-pressure-ulcer-0002.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/venous/97_1.jpg,venous,3,venous,AZH-azh_train,train
data/AZH/train/diabetic/134_1.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/AZH/train/no wound/20.jpg,no wound,4,no_wound,AZH-azh_train,train
data/AZH/train/surgical/110_1.jpg,surgical,2,surgical,AZH-azh_train,train
data/Medetec/venous/leg-ulcer-case-3-9.jpg,venous,3,venous,Medetec,train
data/Medetec/pressure/pressure-ulcer-on-head-006.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/pressure/48_2.jpg,pressure,1,pressure,AZH-azh_train,train
data/AZH/train/pressure/62_0.jpg,pressure,1,pressure,AZH-azh_train,train
data/Medetec/pressure/treating--pressure-ulcers0002.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/no wound/75.jpg,no wound,4,no_wound,AZH-azh_train,train
data/AZH/train/venous/106_1.jpg,venous,3,venous,AZH-azh_train,train
data/Medetec/pressure/sloughy-pressure-ulcer-0021.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/diabetic/64_1.jpg,diabetic,0,diabetic,AZH-azh_train,train
data/Medetec/pressure/necrotic-pressure-ulcer-0001.jpg,pressure,1,pressure,Medetec,train
data/AZH/train/surgical/6_1.jpg,surgical,2,surgical,AZH-azh_train,train
data/AZH/train/surgical/1_0.jpg,surgical,2,surgical,AZH-azh_train,train
data/AZH/train/pressure/10_2.jpg,pressure,1,pressure,AZH-azh_train,train
data/AZH/train/surgical/21_0.jpg,surgical,2,surgical,AZH-azh_train,train
data/AZH/train/venous/110_0.jpg,venous,3,venous,AZH-azh_train,train
data/AZH/train/venous/3_0.jpg,venous,3,venous,AZH-azh_train,train
data/AZH/train/venous/118_0.jpg,venous,3,venous,AZH-azh_train,train
