image_path,mask_path,split,has_wound,bbox_yolo,wound_pixels,source
data/FUSeg/train/images/0409.png,data/FUSeg/train/labels/0409.png,train,True,"[[0, 0.3408203125, 0.423828125, 0.0703125, 0.080078125]]",809,FUSeg
data/AZH/train/BG/64.jpg,,train,False,[],0,AZH-train/BG
data/FUSeg/train/images/0380.png,data/FUSeg/train/labels/0380.png,train,True,"[[0, 0.2880859375, 0.556640625, 0.09765625, 0.107421875]]",1977,FUSeg
data/FUSeg/train/images/0477.png,data/FUSeg/train/labels/0477.png,train,True,"[[0, 0.5185546875, 0.494140625, 0.05078125, 0.056640625]]",511,FUSeg
data/FUSeg/train/images/0875.png,data/FUSeg/train/labels/0875.png,train,True,"[[0, 0.4072265625, 0.4482421875, 0.1328125, 0.078125]]",1590,FUSeg
data/AZH/test/no wound/86.jpg,,train,False,[],0,AZH-test/no wound
data/FUSeg/train/images/0329.png,data/FUSeg/train/labels/0329.png,train,True,"[[0, 0.412109375, 0.5263671875, 0.080078125, 0.16015625]]",2038,FUSeg
data/FUSeg/train/images/0986.png,data/FUSeg/train/labels/0986.png,train,True,"[[0, 0.474609375, 0.517578125, 0.091796875, 0.060546875]]",951,FUSeg
data/FUSeg/train/images/0524.png,data/FUSeg/train/labels/0524.png,train,True,"[[0, 0.3671875, 0.5390625, 0.072265625, 0.056640625]]",624,FUSeg
data/FUSeg/train/images/0925.png,data/FUSeg/train/labels/0925.png,train,True,"[[0, 0.271484375, 0.2978515625, 0.103515625, 0.25]]",577,FUSeg
data/FUSeg/train/images/0116.png,data/FUSeg/train/labels/0116.png,train,True,"[[0, 0.3447265625, 0.4375, 0.1328125, 0.080078125]]",1990,FUSeg
data/FUSeg/train/images/0386.png,data/FUSeg/train/labels/0386.png,train,True,"[[0, 0.3466796875, 0.453125, 0.15625, 0.142578125]]",1274,FUSeg
data/FUSeg/train/images/0713.png,data/FUSeg/train/labels/0713.png,train,True,"[[0, 0.3779296875, 0.4755859375, 0.07421875, 0.0703125]]",702,FUSeg
data/AZH/test/no wound/96.jpg,,train,False,[],0,AZH-test/no wound
data/FUSeg/train/images/0426.png,data/FUSeg/train/labels/0426.png,train,True,"[[0, 0.396484375, 0.501953125, 0.294921875, 0.412109375]]",5449,FUSeg
data/FUSeg/train/images/0690.png,data/FUSeg/train/labels/0690.png,train,True,"[[0, 0.40625, 0.6904296875, 0.205078125, 0.13671875]]",5417,FUSeg
data/FUSeg/train/images/0519.png,data/FUSeg/train/labels/0519.png,train,True,"[[0, 0.3779296875, 0.4482421875, 0.06640625, 0.08203125]]",1013,FUSeg
data/FUSeg/train/images/0188.png,data/FUSeg/train/labels/0188.png,train,True,"[[0, 0.52734375, 0.453125, 0.076171875, 0.072265625]]",1087,FUSeg
