sample_id,dataset,split,task,image_path,mask_path,class_name,orig_class_folder,is_labeled
fus_00000000,FUSeg,train,seg,data/FUSeg/train/images/0012.png,data/FUSeg/train/labels/0012.png,,,1
fus_00000001,FUSeg,train,seg,data/FUSeg/train/images/0013.png,data/FUSeg/train/labels/0013.png,,,1
fus_00000002,FUSeg,train,seg,data/FUSeg/train/images/0015.png,data/FUSeg/train/labels/0015.png,,,1
fus_00000003,FUSeg,train,seg,data/FUSeg/train/images/0016.png,data/FUSeg/train/labels/0016.png,,,1
fus_00000004,FUSeg,train,seg,data/FUSeg/train/images/0018.png,data/FUSeg/train/labels/0018.png,,,1
fus_00000005,FUSeg,train,seg,data/FUSeg/train/images/0019.png,data/FUSeg/train/labels/0019.png,,,1
fus_00000006,FUSeg,train,seg,data/FUSeg/train/images/0020.png,data/FUSeg/train/labels/0020.png,,,1
fus_00000007,FUSeg,train,seg,data/FUSeg/train/images/0021.png,data/FUSeg/train/labels/0021.png,,,1
fus_00000008,FUSeg,train,seg,data/FUSeg/train/images/0023.png,data/FUSeg/train/labels/0023.png,,,1
fus_00000009,FUSeg,train,seg,data/FUSeg/train/images/0024.png,data/FUSeg/train/labels/0024.png,,,1
fus_00000010,FUSeg,train,seg,data/FUSeg/train/images/0026.png,data/FUSeg/train/labels/0026.png,,,1
fus_00000011,FUSeg,train,seg,data/FUSeg/train/images/0027.png,data/FUSeg/train/labels/0027.png,,,1
fus_00000012,FUSeg,train,seg,data/FUSeg/train/images/0028.png,data/FUSeg/train/labels/0028.png,,,1
fus_00000013,FUSeg,train,seg,data/FUSeg/train/images/0029.png,data/FUSeg/train/labels/0029.png,,,1
fus_00000014,FUSeg,train,seg,data/FUSeg/train/images/0031.png,data/FUSeg/train/labels/0031.png,,,1
fus_00000015,FUSeg,train,seg,data/FUSeg/train/images/0034.png,data/FUSeg/train/labels/0034.png,,,1
fus_00000016,FUSeg,train,seg,data/FUSeg/train/images/0035.png,data/FUSeg/train/labels/0035.png,,,1
fus_00000017,FUSeg,train,seg,data/FUSeg/train/images/0036.png,data/FUSeg/train/labels/0036.png,,,1
