sample_id,split,image_path,mask_path,has_obj,x1,y1,x2,y2
fus_00000000,train,data/FUSeg/train/images/0012.png,data/FUSeg/train/labels/0012.png,1,120,221,244,297
fus_00000001,train,data/FUSeg/train/images/0013.png,data/FUSeg/train/labels/0013.png,1,129,268,198,354
fus_00000002,train,data/FUSeg/train/images/0015.png,data/FUSeg/train/labels/0015.png,1,285,271,309,298
fus_00000003,train,data/FUSeg/train/images/0016.png,data/FUSeg/train/labels/0016.png,1,96,76,382,315
fus_00000004,train,data/FUSeg/train/images/0018.png,data/FUSeg/train/labels/0018.png,1,52,202,287,309
fus_00000005,train,data/FUSeg/train/images/0019.png,data/FUSeg/train/labels/0019.png,1,125,319,174,380
fus_00000006,train,data/FUSeg/train/images/0020.png,data/FUSeg/train/labels/0020.png,1,135,227,191,288
fus_00000007,train,data/FUSeg/train/images/0021.png,data/FUSeg/train/labels/0021.png,1,150,208,297,298
fus_00000008,train,data/FUSeg/train/images/0023.png,data/FUSeg/train/labels/0023.png,1,155,208,240,271
fus_00000009,train,data/FUSeg/train/images/0024.png,data/FUSeg/train/labels/0024.png,1,155,117,184,152
fus_00000010,train,data/FUSeg/train/images/0026.png,data/FUSeg/train/labels/0026.png,1,87,113,188,326
fus_00000011,train,data/FUSeg/train/images/0027.png,data/FUSeg/train/labels/0027.png,1,186,249,205,273
fus_00000012,train,data/FUSeg/train/images/0028.png,data/FUSeg/train/labels/0028.png,1,192,269,207,278
fus_00000013,train,data/FUSeg/train/images/0029.png,data/FUSeg/train/labels/0029.png,1,129,179,253,272
fus_00000014,train,data/FUSeg/train/images/0031.png,data/FUSeg/train/labels/0031.png,1,181,258,196,268
fus_00000015,train,data/FUSeg/train/images/0034.png,data/FUSeg/train/labels/0034.png,1,186,149,280,363
fus_00000016,train,data/FUSeg/train/images/0035.png,data/FUSeg/train/labels/0035.png,1,125,228,288,305
fus_00000017,train,data/FUSeg/train/images/0036.png,data/FUSeg/train/labels/0036.png,1,137,184,249,382
fus_00000018,train,data/FUSeg/train/images/0037.png,data/FUSeg/train/labels/0037.png,1,123,155,196,253
fus_00000019,train,data/FUSeg/train/images/0038.png,data/FUSeg/train/labels/0038.png,1,165,150,267,296
fus_00000020,train,data/FUSeg/train/images/0040.png,data/FUSeg/train/labels/0040.png,1,57,171,241,273
fus_00000021,train,data/FUSeg/train/images/0042.png,data/FUSeg/train/labels/0042.png,1,156,245,174,257
fus_00000022,train,data/FUSeg/train/images/0043.png,data/FUSeg/train/labels/0043.png,1,153,162,176,199
fus_00000023,train,data/FUSeg/train/images/0045.png,data/FUSeg/train/labels/0045.png,1,153,198,234,327
fus_00000024,train,data/FUSeg/train/images/0049.png,data/FUSeg/train/labels/0049.png,1,233,84,314,190
fus_00000025,train,data/FUSeg/train/images/0050.png,data/FUSeg/train/labels/0050.png,1,118,247,175,303
fus_00000026,train,data/FUSeg/train/images/0051.png,data/FUSeg/train/labels/0051.png,1,166,213,236,258
fus_00000027,train,data/FUSeg/train/images/0052.png,data/FUSeg/train/labels/0052.png,1,190,237,224,267
fus_00000028,train,data/FUSeg/train/images/0053.png,data/FUSeg/train/labels/0053.png,1,167,234,192,259
fus_00000029,train,data/FUSeg/train/images/0054.png,data/FUSeg/train/labels/0054.png,1,191,294,204,316
fus_00000030,train,data/FUSeg/train/images/0055.png,data/FUSeg/train/labels/0055.png,1,96,235,228,326
fus_00000031,train,data/FUSeg/train/images/0056.png,data/FUSeg/train/labels/0056.png,1,152,132,280,230
fus_00000032,train,data/FUSeg/train/images/0059.png,data/FUSeg/train/labels/0059.png,1,149,244,192,297
fus_00000033,train,data/FUSeg/train/images/0060.png,data/FUSeg/train/labels/0060.png,1,178,257,200,283
fus_00000034,train,data/FUSeg/train/images/0061.png,data/FUSeg/train/labels/0061.png,1,152,246,205,346
fus_00000035,train,data/FUSeg/train/images/0064.png,data/FUSeg/train/labels/0064.png,1,66,235,108,303
fus_00000036,train,data/FUSeg/train/images/0066.png,data/FUSeg/train/labels/0066.png,1,285,121,354,205
fus_00000037,train,data/FUSeg/train/images/0069.png,data/FUSeg/train/labels/0069.png,1,129,235,158,280
fus_00000038,train,data/FUSeg/train/images/0070.png,data/FUSeg/train/labels/0070.png,1,120,107,229,331
fus_00000039,train,data/FUSeg/train/images/0071.png,data/FUSeg/train/labels/0071.png,1,190,231,198,236
fus_00000040,train,data/FUSeg/train/images/0072.png,data/FUSeg/train/labels/0072.png,1,185,239,256,284
fus_00000041,train,data/FUSeg/train/images/0073.png,data/FUSeg/train/labels/0073.png,1,135,209,274,266
fus_00000042,train,data/FUSeg/train/images/0074.png,data/FUSeg/train/labels/0074.png,1,138,208,214,298
fus_00000043,train,data/FUSeg/train/images/0075.png,data/FUSeg/train/labels/0075.png,1,125,123,133,133
fus_00000044,train,data/FUSeg/train/images/0076.png,data/FUSeg/train/labels/0076.png,1,171,199,243,253
fus_00000045,train,data/FUSeg/train/images/0080.png,data/FUSeg/train/labels/0080.png,1,263,0,347,82
fus_00000046,train,data/FUSeg/train/images/0083.png,data/FUSeg/train/labels/0083.png,1,107,178,136,208
fus_00000047,train,data/FUSeg/train/images/0084.png,data/FUSeg/train/labels/0084.png,1,144,208,215,280
fus_00000048,train,data/FUSeg/train/images/0086.png,data/FUSeg/train/labels/0086.png,1,277,54,370,295
fus_00000049,train,data/FUSeg/train/images/0087.png,data/FUSeg/train/labels/0087.png,1,186,250,238,347
fus_00000050,train,data/FUSeg/train/images/0088.png,data/FUSeg/train/labels/0088.png,1,62,213,332,334
fus_00000051,train,data/FUSeg/train/images/0091.png,data/FUSeg/train/labels/0091.png,1,207,135,253,189
fus_00000052,train,data/FUSeg/train/images/0093.png,data/FUSeg/train/labels/0093.png,1,149,216,162,228
fus_00000053,train,data/FUSeg/train/images/0094.png,data/FUSeg/train/labels/0094.png,1,184,239,216,268
fus_00000054,train,data/FUSeg/train/images/0098.png,data/FUSeg/train/labels/0098.png,1,75,112,126,260
fus_00000055,train,data/FUSeg/train/images/0100.png,data/FUSeg/train/labels/0100.png,1,163,251,175,263
fus_00000056,train,data/FUSeg/train/images/0101.png,data/FUSeg/train/labels/0101.png,1,196,267,235,296
fus_00000057,train,data/FUSeg/train/images/0102.png,data/FUSeg/train/labels/0102.png,1,128,239,163,291
fus_00000058,train,data/FUSeg/train/images/0103.png,data/FUSeg/train/labels/0103.png,1,162,203,175,214
fus_00000059,train,data/FUSeg/train/images/0104.png,data/FUSeg/train/labels/0104.png,1,130,176,241,261
fus_00000060,train,data/FUSeg/train/images/0105.png,data/FUSeg/train/labels/0105.png,1,155,298,177,337
fus_00000061,train,data/FUSeg/train/images/0110.png,data/FUSeg/train/labels/0110.png,1,125,298,145,315
fus_00000062,train,data/FUSeg/train/images/0111.png,data/FUSeg/train/labels/0111.png,1,180,234,217,268
fus_00000063,train,data/FUSeg/train/images/0112.png,data/FUSeg/train/labels/0112.png,1,165,203,205,247
fus_00000064,train,data/FUSeg/train/images/0113.png,data/FUSeg/train/labels/0113.png,1,142,153,243,303
fus_00000065,train,data/FUSeg/train/images/0114.png,data/FUSeg/train/labels/0114.png,1,162,239,224,278
fus_00000066,train,data/FUSeg/train/images/0116.png,data/FUSeg/train/labels/0116.png,1,143,204,210,244
fus_00000067,train,data/FUSeg/train/images/0118.png,data/FUSeg/train/labels/0118.png,1,114,282,193,324
fus_00000068,train,data/FUSeg/train/images/0119.png,data/FUSeg/train/labels/0119.png,1,174,327,222,371
fus_00000069,train,data/FUSeg/train/images/0120.png,data/FUSeg/train/labels/0120.png,1,152,214,241,284
fus_00000070,train,data/FUSeg/train/images/0127.png,data/FUSeg/train/labels/0127.png,1,93,143,123,183
fus_00000071,train,data/FUSeg/train/images/0129.png,data/FUSeg/train/labels/0129.png,1,138,251,169,267
fus_00000072,train,data/FUSeg/train/images/0130.png,data/FUSeg/train/labels/0130.png,1,190,243,204,256
fus_00000073,train,data/FUSeg/train/images/0132.png,data/FUSeg/train/labels/0132.png,1,45,191,322,327
fus_00000074,train,data/FUSeg/train/images/0135.png,data/FUSeg/train/labels/0135.png,1,132,101,213,297
fus_00000075,train,data/FUSeg/train/images/0137.png,data/FUSeg/train/labels/0137.png,1,169,245,205,277
fus_00000076,train,data/FUSeg/train/images/0140.png,data/FUSeg/train/labels/0140.png,1,36,316,193,425
fus_00000077,train,data/FUSeg/train/images/0141.png,data/FUSeg/train/labels/0141.png,1,138,221,171,258
fus_00000078,train,data/FUSeg/train/images/0142.png,data/FUSeg/train/labels/0142.png,1,159,199,194,244
fus_00000079,train,data/FUSeg/train/images/0145.png,data/FUSeg/train/labels/0145.png,1,84,227,122,262
fus_00000080,train,data/FUSeg/train/images/0147.png,data/FUSeg/train/labels/0147.png,1,130,240,164,284
fus_00000081,train,data/FUSeg/train/images/0148.png,data/FUSeg/train/labels/0148.png,1,183,216,213,246
